Video,Second,L_C,L_A,R_C,R_A
AAKTSE1,1.786697491408486e-13,269.4345383957626,-312.4042952,-143.8743283,150.24734027914266
AAKTSE1,-6.55E-12,307.58912649666576,-431.192459,-122.2985452,126.35132566618965
AAKTSE1,1.1229138724900622e-14,326.25704793087846,-414.0961785,-54.88165106,9.358644386543643
AAKTSE1,1.1997992930983704e-14,280.17052492064533,-435.9798979,30.221909799138682,271.07818532912046
AAKTSE1,1.2766847137066783e-14,112.33177968819025,-402.8925062,127.22880398723146,318.27550404947476
AAKTSE1,1.3535701343149864e-14,51.07081223,-408.209559,317.7105466601743,179.32948943649606
AAKTSE1,1.4304555549232945e-14,85.03873366772405,-444.5943895,157.01259236341903,216.14791926796119
AAKTSE1,1.5073409755316022e-14,101.34887732415764,-480.7014423,340.7228198848458,580.4107935438717
AAKTSE1,1.5842263961399106e-14,33.245687647257846,-512.1040506,71.58860296182803,551.8825567086709
AAKTSE1,1.6611118167482187e-14,-92.27083536,-494.1388812,-142.7122806,640.6409865401364
AAKTSE1,1.7379972373565267e-14,-201.0062473,-435.6759339,-139.6264976,483.03274970493516
AAKTSE1,1.8148826579648348e-14,-55.84388138,-357.8274311,-72.35404781,698.9422906475121
AAKTSE1,1.8917680785731432e-14,153.08959560632542,-287.7533728,-68.32604251,852.7240538123108
AAKTSE1,1.9686534991814513e-14,212.6808503738703,-316.9915367,-81.99581499,723.3947058659986
AAKTSE1,2.0455389197897593e-14,147.49321625252588,-351.9985894,183.8077458681664,791.0731356974644
AAKTSE1,-7.20E-15,170.40002657562607,-351.7878644,348.39241783403725,544.2471210844853
AAKTSE1,-6.43E-15,133.93905912094894,-398.6649172,480.7648676,590.8366620270621
AAKTSE1,-5.66E-15,132.18920277738187,-416.7108589,628.1484284324468,630.2606474140839
AAKTSE1,-4.89E-15,159.6582353227047,-422.2323561,442.33532262054064,463.1212994677707
AAKTSE1,-4.12E-15,140.91393453469362,-423.8038533,367.18777236418936,436.3097292992372
AAKTSE1,-3.35E-15,149.37741152446054,-419.6142394,285.1257776633941,348.4492702418134
AAKTSE1,-2.58E-15,127.23311073644942,-450.1346255,302.7615607403769,397.2143667399459
AAKTSE1,-1.82E-15,-36.6556345,-518.1227894,369.69734381735873,636.4716855
AAKTSE1,-1.05E-15,-139.2499353,-579.768731,334.8709046721185,610.3178930695432
AAKTSE1,-2.78E-16,-140.1509027,-577.6557838,435.2222433046573,761.5863229010087
AAKTSE1,4.910760344075205e-16,-48.3289409,-518.1093012,411.9378243614371,611.4143486920705
AAKTSE1,1.2599302404906012e-15,137.69494012972856,-420.8954449,400.95158723639884,353.18318256394025
AAKTSE1,2.028784446573682e-15,134.53730600838475,-356.515831,403.6284814244927,263.0049457287401
AAKTSE1,2.7976386526567625e-15,32.527449664817645,-381.5117726,427.28648672369746,480.22226444909387
AAKTSE1,3.566492858739843e-15,-44.51685112,-312.9466032,386.92782535623525,695.9251387250038
AAKTSE1,4.335347064822924e-15,-0.604485245,-302.5869893,320.7536084332181,688.6591241120245
AAKTSE1,5.104201270906005e-15,149.1989917452293,-305.0784865,224.09494706575583,549.8186650546013
AAKTSE1,2.0083910192191092e-14,174.94913540166323,-346.943317,209.2707301427376,533.6604282194002
AAKTSE1,2.0852764398274173e-14,158.4526123914301,-452.6448142,208.76873544194248,524.8177469397549
AAKTSE1,7.410763889155272e-15,99.59608938119699,-422.8352003,207.25451851892527,535.2183989934427
AAKTSE1,8.179618095238352e-15,294.4195663709639,-458.3678087,287.9947460403521,360.9746066026866
AAKTSE1,8.948472301321433e-15,159.43304336073078,-236.4715281,330.7738624506668,430.63303643415145
AAKTSE1,9.717326507404514e-15,41.35096479,432.85697469322656,346.31045360845764,224.83894101309204
AAKTSE1,1.0486180713487594e-14,154.29999734026458,619.0276997,373.4298730490774,-110.1056595
AAKTSE1,1.1255034919570675e-14,155.92236321892045,436.9839802708134,111.7001005705032,-502.0483407
AAKTSE1,1.2023889125653756e-14,1.6325068753538972,465.4613719484954,-32.84189413,-650.4887998
AAKTSE1,1.2792743331736837e-14,0.6570949762319511,367.1898747372892,-440.0994444,-678.4470366
AAKTSE1,1.3561597537819916e-14,-184.7316503,266.4405997483044,-50.88143909,-685.3230512
AAKTSE1,1.4330451743902998e-14,-221.4392844,590.2191025370979,146.8410106562104,-688.6757325
AAKTSE1,1.5099305949986082e-14,-78.02136294,663.7376053258914,156.95457151097054,-752.1628582
AAKTSE1,1.5868160156069162e-14,-120.3834415,693.8016636702403,152.99146569906395,-918.1322062
AAKTSE1,1.663701436215224e-14,-41.26218674,701.9457220145894,98.76169322049074,-931.5537764
AAKTSE1,3.195013853033342e-15,-2.728709752,619.5342248033826,29.73303185302892,-930.1109021
AAKTSE1,3.963868059116423e-15,111.80587834904449,716.8738387032871,17.13214826334433,-934.9735834
