total_reward,agent1_reward,agent2_reward,reward_difference,agent1_type,agent2_type,personality_pairing,alpha,beta
159.18908,79.61119,79.57789,0.033299999999997,cooperative,cooperative,cooperative-cooperative,2.0,5.0
135.634736,67.84932,67.785416,0.06390400000000795,cooperative,cooperative,cooperative-cooperative,2.0,10.0
126.690358,63.136353,63.554005,0.4176519999999968,cooperative,cooperative,cooperative-cooperative,2.0,15.0
173.073686,86.54635,86.527336,0.019013999999998532,cooperative,cooperative,cooperative-cooperative,4.0,5.0
144.15006,72.06588,72.08418,0.01829999999999643,cooperative,cooperative,cooperative-cooperative,4.0,10.0
127.85682299999999,63.908497,63.948326,0.039829000000004555,cooperative,cooperative,cooperative-cooperative,4.0,15.0
160.33364,80.16493,80.16871,0.003780000000006112,cooperative,cooperative,cooperative-cooperative,6.0,5.0
139.63229,69.83244,69.79985,0.03258999999999901,cooperative,cooperative,cooperative-cooperative,6.0,10.0
129.23754000000002,64.61234,64.6252,0.012860000000003424,cooperative,cooperative,cooperative-cooperative,6.0,15.0
154.966824,77.50121,77.465614,0.035595999999998185,cooperative,competitive,cooperative-competitive,2.0,5.0
133.39413000000002,66.79854,66.59559,0.2029500000000013,cooperative,competitive,cooperative-competitive,2.0,10.0
127.813223,64.2157,63.597523,0.6181769999999958,cooperative,competitive,cooperative-competitive,2.0,15.0
158.41745600000002,79.22682,79.190636,0.03618400000000577,cooperative,competitive,cooperative-competitive,4.0,5.0
146.01386,72.47325,73.54061,1.0673600000000079,cooperative,competitive,cooperative-competitive,4.0,10.0
141.99894999999998,71.42013,70.57882,0.8413100000000071,cooperative,competitive,cooperative-competitive,4.0,15.0
127.757113,64.10063,63.656483,0.44414699999999385,cooperative,competitive,cooperative-competitive,6.0,5.0
128.461957,64.58056,63.881397,0.6991630000000058,cooperative,competitive,cooperative-competitive,6.0,10.0
121.47977700000001,60.83776,60.642017,0.19574300000000022,cooperative,competitive,cooperative-competitive,6.0,15.0
185.684594,92.872444,92.81215,0.06029399999999896,cooperative,adaptive,cooperative-adaptive,2.0,5.0
151.26782,75.6744,75.59342,0.08098000000001093,cooperative,adaptive,cooperative-adaptive,2.0,10.0
116.862796,59.6338,57.228996,2.4048039999999986,cooperative,adaptive,cooperative-adaptive,2.0,15.0
152.57810999999998,76.24206,76.33605,0.09399000000000513,cooperative,adaptive,cooperative-adaptive,4.0,5.0
131.73362,65.82992,65.9037,0.07377999999999929,cooperative,adaptive,cooperative-adaptive,4.0,10.0
125.620487,62.80114,62.819347,0.01820700000000386,cooperative,adaptive,cooperative-adaptive,4.0,15.0
156.98178000000001,78.50069,78.48109,0.019600000000011164,cooperative,adaptive,cooperative-adaptive,6.0,5.0
161.138826,80.567986,80.57084,0.002853999999999246,cooperative,adaptive,cooperative-adaptive,6.0,10.0
144.166566,72.118576,72.04799,0.07058600000000581,cooperative,adaptive,cooperative-adaptive,6.0,15.0
153.80718,76.91859,76.88859,0.030000000000001137,cooperative,cautious,cooperative-cautious,2.0,5.0
143.83044999999998,71.92688,71.90357,0.023309999999995057,cooperative,cautious,cooperative-cautious,2.0,10.0
