episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,0.20869479,0.593882,-0.6945472,0.38102913,1.2884293,0.17233434
0,2,0.593882,0.26911187,0.38102913,0.76582587,-0.11191726,0.17194384
0,3,0.26911187,1.0,0.76582587,-0.19835693,0.23417413,-0.4674688
0,4,1.0,-0.9212396,-0.19835693,0.6063469,-0.7228827,-0.3936531
0,5,-0.9212396,-0.5110797,0.6063469,-0.33433074,-1.1174266,0.5869089
0,6,-0.5110797,0.60036916,-0.33433074,0.9486508,0.9346999,1.4597305
0,7,0.60036916,-0.793371,0.9486508,0.95470005,-1.7420218,0.3543309
0,8,-0.793371,0.8608424,0.95470005,-0.20096374,-0.093857646,0.5924073
0,9,0.8608424,-0.89068,-0.20096374,0.20760977,-0.6897163,-0.65323263
0,10,-0.89068,0.70433664,0.20760977,-0.40846032,0.49672687,0.4822197
0,11,0.70433664,-0.8588635,-0.40846032,-0.6818429,-0.45040315,-1.3861796
0,12,-0.8588635,0.9419804,-0.6818429,0.83474296,1.6238234,1.6936064
0,13,0.9419804,0.42661756,0.83474296,0.016668858,-0.4081254,-0.92531157
0,14,0.42661756,-0.0033750534,0.016668858,-0.739004,-0.020043911,-1.1656215
0,15,-0.0033750534,-1.0,-0.739004,-0.6298148,-0.26099598,-0.62643975
0,16,-1.0,0.92115736,-0.6298148,0.089622445,1.5509722,1.0896225
0,17,0.92115736,-0.15895322,0.089622445,-0.9452417,-0.24857566,-1.866399
0,18,-0.15895322,0.17766353,-0.9452417,-0.30777153,1.1229053,-0.14881831
0,19,0.17766353,-0.38641724,-0.30777153,0.8990855,-0.078645706,0.72142196
0,20,-0.38641724,0.22478029,0.8990855,0.86481476,-0.6743052,1.251232
0,21,0.22478029,0.8385653,0.86481476,-0.24979205,-0.026249468,-0.47457236
0,22,0.8385653,-0.81743693,-0.24979205,0.8479592,-0.5676449,0.00939393
0,23,-0.81743693,-0.4200861,0.8479592,-0.6738197,-1.2680453,0.14361721
0,24,-0.4200861,0.3722129,-0.6738197,-0.637638,1.0460327,-0.21755189
0,25,0.3722129,0.7028471,-0.637638,0.8786306,1.3404851,0.5064177
0,26,0.7028471,-0.8155646,0.8786306,-0.9172499,-1.6941952,-1.620097
0,27,-0.8155646,0.14917298,-0.9172499,-0.9535673,1.0664229,-0.13800275
0,28,0.14917298,0.11579083,-0.9535673,0.99347866,1.0693581,0.8443057
0,29,0.11579083,0.8065971,0.99347866,-0.13041686,-0.18688154,-0.24620768
0,30,0.8065971,-0.27492136,-0.13041686,-0.60806036,-0.1445045,-1.4146575
0,31,-0.27492136,-0.4065438,-0.60806036,-0.19390723,0.20151657,0.08101413
0,32,-0.4065438,-0.93560153,-0.19390723,0.16326326,-0.74169433,0.56980705
0,33,-0.93560153,-0.63044816,0.16326326,-0.24041493,-0.7937114,0.6951866
0,34,-0.63044816,0.43737358,-0.24041493,0.3503906,0.6777885,0.9808388
0,35,0.43737358,-0.9181976,0.3503906,-0.9282952,-1.2685882,-1.3656688
