episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,0.24098472,0.90917367,-0.6068862,-0.106033094,1.5160599,-0.34701782
0,2,0.90917367,0.2631969,-0.106033094,-0.6411519,0.36922997,-1.5503256
0,3,0.2631969,-0.47232378,-0.6411519,-0.39445722,0.16882813,-0.6576541
0,4,-0.47232378,-0.47800747,-0.39445722,0.9305803,-0.083550245,1.402904
0,5,-0.47800747,0.52644926,0.9305803,0.9701275,-0.40413105,1.448135
0,6,0.52644926,-0.3990338,0.9701275,-0.75619274,-1.3691614,-1.282642
0,7,-0.3990338,-0.6292309,-0.75619274,0.17470396,0.12696183,0.57373774
0,8,-0.6292309,-0.8960967,0.17470396,0.084467456,-1.0708007,0.7136984
0,9,-0.8960967,0.7605081,0.084467456,-0.5949219,0.67604065,0.30117482
0,10,0.7605081,0.84633166,-0.5949219,0.7570428,1.4412535,-0.0034652948
0,11,0.84633166,-0.47121158,0.7570428,0.7318448,-1.2282544,-0.11448687
0,12,-0.47121158,-0.15944125,0.7318448,0.9450855,-0.891286,1.4162971
0,13,-0.15944125,0.45757425,0.9450855,-0.28087947,-0.48751128,-0.12143822
0,14,0.45757425,0.9867919,-0.28087947,-0.004028783,1.2676713,-0.46160305
0,15,0.9867919,-0.8509706,-0.004028783,-0.36641604,-0.8469418,-1.353208
0,16,-0.8509706,0.9451716,-0.36641604,-0.5276166,1.3115876,0.323354
0,17,0.9451716,-0.527531,-0.5276166,0.12977614,8.559227e-05,-0.8153955
0,18,-0.527531,-0.83639127,0.12977614,-0.81083727,-0.9661674,-0.28330624
0,19,-0.83639127,0.84765255,-0.81083727,-0.18361263,1.6584898,0.6527786
0,20,0.84765255,-0.90419376,-0.18361263,-0.9093958,-0.7205811,-1.7570484
0,21,-0.90419376,0.6968445,-0.9093958,-0.8989795,1.6062403,0.005214274
0,22,0.6968445,0.61246324,-0.8989795,0.11385211,1.5114427,-0.58299243
0,23,0.61246324,-0.57640713,0.11385211,0.83528125,-0.6902592,0.22281802
0,24,-0.57640713,-0.92066157,0.83528125,-0.14044252,-1.7559428,0.4359646
0,25,-0.92066157,-1.0,-0.14044252,0.6365983,-0.8595575,1.5572598
0,26,-1.0,0.82815033,0.6365983,0.5169348,0.19155204,1.5169349
0,27,0.82815033,-0.9305766,0.5169348,0.27001783,-1.4475114,-0.5581325
0,28,-0.9305766,-0.32747364,0.27001783,0.42022693,-0.5974915,1.3508036
0,29,-0.32747364,-0.39572954,0.42022693,0.57250565,-0.8159565,0.8999793
0,30,-0.39572954,0.8122055,0.57250565,-0.6294707,0.23969984,-0.23374116
0,31,0.8122055,0.3303508,-0.6294707,0.24125163,0.95982146,-0.57095385
0,32,0.3303508,0.9622586,0.24125163,0.3667151,0.72100693,0.036364317
0,33,0.9622586,-0.027067682,0.3667151,-0.88926494,-0.3937828,-1.8515235
0,34,-0.027067682,0.61040705,-0.88926494,0.568465,1.4996719,0.59553266
0,35,0.61040705,-0.87329984,0.568465,0.43372628,-1.4417648,-0.17668077
0,36,-0.87329984,-0.9309642,0.43372628,-0.72784424,-1.3646904,0.1454556
0,37,-0.9309642,-0.7167151,-0.72784424,-0.040636294,0.011129141,0.8903279
0,38,-0.7167151,0.6667591,-0.040636294,0.7523974,0.7073954,1.4691125
0,39,0.6667591,-0.55029273,0.7523974,0.61946523,-1.3026901,-0.04729384
0,40,-0.55029273,0.9159116,0.61946523,0.66710174,0.29644638,1.2173945
0,41,0.9159116,-0.38739675,0.66710174,0.87064534,-1.0544984,-0.04526627
0,42,-0.38739675,-0.37504205,0.87064534,0.20203564,-1.2456874,0.58943236
0,43,-0.37504205,-0.8353232,0.20203564,-0.42243066,-1.0373589,-0.047388613
0,44,-0.8353232,-0.18407744,-0.42243066,0.0697332,0.23835322,0.9050564
0,45,-0.18407744,1.0,0.0697332,0.7882746,0.9302668,0.972352
0,46,1.0,-0.25720426,0.7882746,0.86498845,-1.0454788,-0.13501155
0,47,-0.25720426,-0.5020721,0.86498845,-0.74609023,-1.3670605,-0.48888597
0,48,-0.5020721,-0.82370657,-0.74609023,-0.671733,-0.077616334,-0.16966093
0,49,-0.82370657,0.35914046,-0.671733,-0.7249679,1.0308735,0.09873867
1,0,0.35914046,-0.7656906,-0.7249679,-0.3031866,-0.040722728,-0.66232705
1,1,-0.7656906,-0.6842269,-0.3031866,-0.105491266,-0.38104028,0.66019934
1,2,-0.6842269,-0.2972096,-0.105491266,0.76856047,-0.19171833,1.4527874
1,3,-0.2972096,-0.31624433,0.76856047,0.38501123,-1.0848048,0.6822208
1,4,-0.31624433,-0.89023745,0.38501123,0.9037317,-1.2752486,1.2199761
1,5,-0.89023745,0.5806125,0.9037317,0.89593,-0.32311922,1.7861674
1,6,0.5806125,-0.9127012,0.89593,-0.83941257,-1.8086312,-1.4200251
1,7,-0.9127012,-0.8870666,-0.83941257,-0.38332516,-0.047654033,0.52937603
1,8,-0.8870666,0.89411384,-0.38332516,0.0047104806,1.277439,0.8917771
1,9,0.89411384,0.8406054,0.0047104806,-0.29533815,0.8358949,-1.1894519
1,10,0.8406054,0.7184306,-0.29533815,0.8836725,1.0137687,0.043067098
1,11,0.7184306,-0.41586345,0.8836725,-0.89614475,-1.299536,-1.6145754
1,12,-0.41586345,-0.6201182,-0.89614475,-0.28678176,0.27602655,0.1290817
1,13,-0.6201182,-0.045110192,-0.28678176,-0.16209623,0.24167156,0.45802197
1,14,-0.045110192,-0.76962036,-0.16209623,0.6552911,-0.60752416,0.70040125
1,15,-0.76962036,-0.58632916,0.6552911,0.04428087,-1.2416203,0.81390125
1,16,-0.58632916,0.9108808,0.04428087,0.30837917,0.8665999,0.89470834
1,17,0.9108808,0.99119616,0.30837917,-0.019047307,0.682817,-0.9299281
1,18,0.99119616,-0.7548245,-0.019047307,0.8724244,-0.7357772,-0.11877173
1,19,-0.7548245,0.15106623,0.8724244,0.72195184,-0.7213582,1.4767764
1,20,0.15106623,-0.45375797,0.72195184,0.988965,-1.1757098,0.83789873
1,21,-0.45375797,-0.9302281,0.988965,0.9888879,-1.919193,1.4426459
1,22,-0.9302281,0.3332356,0.9888879,-0.64650434,-0.6556523,0.28372377
1,23,0.3332356,-0.12919225,-0.64650434,-0.950419,0.5173121,-1.2836546
1,24,-0.12919225,0.649657,-0.950419,0.21478154,1.600076,0.3439738
1,25,0.649657,-0.443287,0.21478154,0.6565162,-0.65806854,0.0068591833
1,26,-0.443287,0.92370903,0.6565162,-0.36854887,0.26719284,0.074738115
1,27,0.92370903,0.91415906,-0.36854887,0.7082391,1.2827079,-0.21546996
1,28,0.91415906,-0.24576308,0.7082391,0.3593085,-0.95400214,-0.5548506
