episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,0.6601716,0.966671,-0.91980636,-0.08174363,1.8864774,-0.7419152
0,2,0.966671,-0.44132495,-0.08174363,-0.7989558,-0.35958132,-1.7656268
0,3,-0.44132495,0.36960286,-0.7989558,1.0,1.1685586,1.441325
0,4,0.36960286,-0.31136233,1.0,-0.5345082,-1.3113623,-0.9041111
0,5,-0.31136233,0.42851081,-0.5345082,0.05929108,0.963019,0.3706534
0,6,0.42851081,-1.0,0.05929108,-0.8860589,-1.0592911,-1.3145697
0,7,-1.0,-0.22046313,-0.8860589,0.2505669,0.66559577,1.250567
0,8,-0.22046313,0.40327224,0.2505669,-0.60322094,0.15270534,-0.3827578
0,9,0.40327224,-0.29483855,-0.60322094,-0.17326589,0.3083824,-0.57653815
0,10,-0.29483855,0.06333937,-0.17326589,-0.923385,0.23660526,-0.6285465
0,11,0.06333937,-0.68203866,-0.923385,-0.94104624,0.24134636,-1.0043856
0,12,-0.68203866,1.0,-0.94104624,0.18450244,1.9410462,0.8665411
0,13,1.0,0.5486954,0.18450244,-0.6924904,0.36419296,-1.6924903
0,14,0.5486954,0.2914716,-0.6924904,-0.10491301,0.983962,-0.6536084
0,15,0.2914716,0.2935509,-0.10491301,0.18089347,0.3984639,-0.110578135
0,16,0.2935509,0.43722308,0.18089347,-0.10878715,0.2563296,-0.40233806
0,17,0.43722308,0.18497074,-0.10878715,0.81418806,0.2937579,0.376965
0,18,0.18497074,-0.04514128,0.81418806,0.27625716,-0.85932934,0.09128642
0,19,-0.04514128,0.5184123,0.27625716,-0.49471533,0.24215513,-0.44957405
0,20,0.5184123,0.65316206,-0.49471533,-0.9826759,1.1478775,-1.5010881
0,21,0.65316206,0.2539475,-0.9826759,0.02403444,1.2366234,-0.6291276
0,22,0.2539475,0.6209969,0.02403444,-0.8050604,0.59696245,-1.0590079
0,23,0.6209969,0.6961957,-0.8050604,0.45072055,1.5012561,-0.17027634
0,24,0.6961957,-0.8008507,0.45072055,0.15734982,-1.2515712,-0.5388459
0,25,-0.8008507,0.65811056,0.15734982,-0.1583422,0.50076073,0.6425085
0,26,0.65811056,0.5701909,-0.1583422,1.0,0.7285331,0.34188944
0,27,0.5701909,0.89349157,1.0,-0.11003993,-0.106508434,-0.68023086
0,28,0.89349157,0.7628892,-0.11003993,0.549014,0.87292916,-0.3444776
0,29,0.7628892,-0.739817,0.549014,0.06801689,-1.288831,-0.6948723
0,30,-0.739817,-0.75584096,0.06801689,0.7587183,-0.82385784,1.4985354
