episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,-0.17309564,-0.6481413,0.26215008,0.9173364,-0.91029143,1.090432
0,2,-0.6481413,-0.38977474,0.9173364,0.8615682,-1.3071111,1.5097096
0,3,-0.38977474,0.30042508,0.8615682,-0.20603107,-0.56114316,0.18374367
0,4,0.30042508,0.5121685,-0.20603107,0.7224949,0.7181996,0.42206982
0,5,0.5121685,-0.38521448,0.7224949,0.2992759,-1.1077094,-0.21289262
0,6,-0.38521448,0.7921934,0.2992759,0.6594493,0.4929175,1.0446638
0,7,0.7921934,0.38946635,0.6594493,-0.7016315,-0.26998293,-1.493825
0,8,0.38946635,-0.8618302,-0.7016315,0.5327347,-0.16019869,0.14326835
0,9,-0.8618302,-0.7856158,0.5327347,-0.88825274,-1.3183506,-0.02642256
0,10,-0.7856158,-0.6999574,-0.88825274,-1.0,0.18829536,-0.2143842
0,11,-0.6999574,-0.48084956,-1.0,-0.60184085,0.51915044,0.09811652
0,12,-0.48084956,0.19296883,-0.60184085,0.10416317,0.7948097,0.58501273
0,13,0.19296883,0.79235,0.10416317,0.8891406,0.6881868,0.69617176
0,14,0.79235,0.90340734,0.8891406,-0.60988456,0.014266729,-1.4022346
0,15,0.90340734,-0.91487956,-0.60988456,0.12650329,-0.304995,-0.77690405
0,16,-0.91487956,0.41024292,0.12650329,-0.10933396,0.28373963,0.80554557
0,17,0.41024292,0.94701415,-0.10933396,-0.31255597,1.0563481,-0.7227989
0,18,0.94701415,0.68694454,-0.31255597,-0.26333418,0.9995005,-1.2103484
0,19,0.68694454,0.69680524,-0.26333418,0.38053218,0.9601394,-0.30641237
0,20,0.69680524,-1.0,0.38053218,-0.25130668,-1.3805321,-0.9481119
0,21,-1.0,-0.35379243,-0.25130668,-0.45278567,-0.102485746,0.5472143
0,22,-0.35379243,-0.64143825,-0.45278567,0.8952259,-0.18865258,1.2490183
0,23,-0.64143825,0.32552,0.8952259,0.15503651,-0.56970584,0.79647475
0,24,0.32552,0.49311844,0.15503651,0.18743876,0.33808193,-0.13808125
0,25,0.49311844,0.62124574,0.18743876,0.2396586,0.433807,-0.25345984
0,26,0.62124574,1.0,0.2396586,0.12526435,0.7603414,-0.4959814
0,27,1.0,0.12525886,0.12526435,0.92981,-5.4836273e-06,-0.07019001
0,28,0.12525886,-0.72662425,0.92981,-0.46026653,-1.6564343,-0.5855254
0,29,-0.72662425,0.9674603,-0.46026653,0.47448787,1.4277267,1.2011122
0,30,0.9674603,-0.2726358,0.47448787,-0.44392475,-0.74712366,-1.411385
0,31,-0.2726358,0.21509744,-0.44392475,0.60249937,0.6590222,0.8751352
