episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,0.22995456,0.68381274,-0.44071236,0.19521764,1.1245251,-0.034736916
0,2,0.68381274,0.66542214,0.19521764,-1.0,0.4702045,-1.6838127
0,3,0.66542214,-0.23427458,-1.0,0.36429784,0.76572543,-0.3011243
0,4,-0.23427458,0.056418568,0.36429784,0.4352474,-0.30787927,0.669522
0,5,0.056418568,0.6584488,0.4352474,0.4919206,0.22320142,0.43550202
0,6,0.6584488,0.40825558,0.4919206,-0.64183545,-0.08366501,-1.3002843
0,7,0.40825558,0.6632925,-0.64183545,-0.90762675,1.305128,-1.3158823
0,8,0.6632925,0.19306186,-0.90762675,-0.30397516,1.1006886,-0.9672677
0,9,0.19306186,0.41599345,-0.30397516,0.29853678,0.7199686,0.10547492
0,10,0.41599345,0.47430164,0.29853678,0.09347,0.17576486,-0.32252344
0,11,0.47430164,0.44229305,0.09347,-1.0,0.34882304,-1.4743016
0,12,0.44229305,0.704,-1.0,0.08617662,1.704,-0.3561164
0,13,0.704,0.67361706,0.08617662,-0.8070711,0.58744043,-1.5110711
0,14,0.67361706,0.5900892,-0.8070711,0.5143043,1.3971603,-0.15931278
0,15,0.5900892,0.38238525,0.5143043,0.58836186,-0.13191903,-0.0017273426
0,16,0.38238525,0.64648473,0.58836186,0.5331222,0.058122873,0.15073693
0,17,0.64648473,0.60625565,0.5331222,0.3729313,0.07313347,-0.27355343
0,18,0.60625565,0.36014897,0.3729313,1.0,-0.012782335,0.39374435
0,19,0.36014897,0.36398727,1.0,-0.51241344,-0.63601273,-0.8725624
0,20,0.36398727,0.689863,-0.51241344,1.0,1.2022765,0.63601273
0,21,0.689863,0.37979645,1.0,-0.20051247,-0.62020355,-0.8903755
0,22,0.37979645,0.6945582,-0.20051247,0.7349502,0.8950707,0.35515374
0,23,0.6945582,0.6590549,0.7349502,-0.66324896,-0.07589531,-1.3578072
0,24,0.6590549,0.5237341,-0.66324896,-0.0798425,1.1869831,-0.7388974
0,25,0.5237341,0.40777558,-0.0798425,-0.3294886,0.4876181,-0.8532227
0,26,0.40777558,0.64050955,-0.3294886,0.70984447,0.9699981,0.3020689
0,27,0.64050955,0.3489325,0.70984447,0.88606095,-0.36091197,0.2455514
0,28,0.3489325,0.35739997,0.88606095,-0.81014526,-0.528661,-1.1590778
0,29,0.35739997,0.45553678,-0.81014526,0.04432355,1.265682,-0.31307644
0,30,0.45553678,0.35749668,0.04432355,-1.0,0.31317312,-1.4555368
0,31,0.35749668,0.6237953,-1.0,-0.6961975,1.6237953,-1.0536942
0,32,0.6237953,0.53100324,-0.6961975,0.87705827,1.2272007,0.253263
0,33,0.53100324,0.6333201,0.87705827,0.60287416,-0.24373817,0.07187092
0,34,0.6333201,0.64379174,0.60287416,0.103463024,0.040917575,-0.52985704
0,35,0.64379174,0.61307275,0.103463024,-0.44000444,0.5096097,-1.0837961
0,36,0.61307275,0.379309,-0.44000444,0.12097323,0.8193134,-0.49209952
0,37,0.379309,0.37449384,0.12097323,0.86995554,0.2535206,0.49064654
0,38,0.37449384,0.69626296,0.86995554,0.35023254,-0.17369258,-0.024261296
0,39,0.69626296,0.632354,0.35023254,0.39613408,0.28212148,-0.30012888
0,40,0.632354,0.5628158,0.39613408,0.691167,0.1666817,0.058812976
0,41,0.5628158,0.59395164,0.691167,0.31128395,-0.097215354,-0.25153184
0,42,0.59395164,0.4673686,0.31128395,-0.68673134,0.15608466,-1.280683
0,43,0.4673686,0.6612694,-0.68673134,-0.316181,1.3480008,-0.7835496
0,44,0.6612694,0.67301166,-0.316181,0.81942207,0.98919266,0.15815264
0,45,0.67301166,0.48183778,0.81942207,0.63668007,-0.3375843,-0.036331594
0,46,0.48183778,0.66569924,0.63668007,-0.86978185,0.029019177,-1.3516196
0,47,0.66569924,0.38933712,-0.86978185,-0.18640198,1.259119,-0.8521012
0,48,0.38933712,0.44383925,-0.18640198,-0.4264261,0.6302412,-0.81576324
0,49,0.44383925,0.6678324,-0.4264261,0.90000916,1.0942585,0.4561699
1,0,0.6678324,0.11198421,0.90000916,0.0011927882,-0.78802496,-0.66663957
1,1,0.11198421,0.50477666,0.0011927882,-0.930478,0.50358385,-1.0424622
1,2,0.50477666,0.40004048,-0.930478,0.5292086,1.3305185,0.024431944
