episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,0.27910686,0.5630329,-0.01656563,-0.083438486,0.57959855,-0.36254534
0,2,0.5630329,0.47396314,-0.083438486,-0.5371999,0.55740166,-1.1002328
0,3,0.47396314,0.4270257,-0.5371999,0.69381505,0.96422565,0.21985191
0,4,0.4270257,0.47828263,0.69381505,0.76807415,-0.21553242,0.34104845
0,5,0.47828263,0.5295464,0.76807415,-0.5738004,-0.23852777,-1.052083
0,6,0.5295464,0.67648387,-0.5738004,-0.78117204,1.2502842,-1.3107184
0,7,0.67648387,0.35507786,-0.78117204,-0.5085847,1.1362499,-1.1850686
0,8,0.35507786,0.29723868,-0.5085847,-0.45885497,0.8058233,-0.81393284
0,9,0.29723868,0.35160235,-0.45885497,-0.95417255,0.81045735,-1.2514112
0,10,0.35160235,0.26217008,-0.95417255,0.23745456,1.2163427,-0.11414778
0,11,0.26217008,0.21348588,0.23745456,-0.9805877,-0.023968682,-1.2427578
0,12,0.21348588,0.24195486,-0.9805877,-1.0,1.2225425,-1.2134858
0,13,0.24195486,0.42408672,-1.0,0.36670688,1.4240867,0.124752015
0,14,0.42408672,0.76662886,0.36670688,0.38374835,0.39992198,-0.040338367
0,15,0.76662886,0.4152624,0.38374835,0.4166971,0.03151405,-0.34993175
0,16,0.4152624,0.6834251,0.4166971,-0.89025915,0.266728,-1.3055215
0,17,0.6834251,0.4740678,-0.89025915,0.30794457,1.364327,-0.37548056
0,18,0.4740678,0.29627723,0.30794457,-0.5322621,-0.011667341,-1.0063299
0,19,0.29627723,0.52722126,-0.5322621,0.08351721,1.0594833,-0.21276002
0,20,0.52722126,0.6285994,0.08351721,0.54445916,0.5450822,0.017237902
0,21,0.6285994,0.7361175,0.54445916,0.61139196,0.19165832,-0.017207444
0,22,0.7361175,0.25101438,0.61139196,0.8934784,-0.36037758,0.15736091
0,23,0.25101438,0.29329863,0.8934784,0.54684126,-0.6001798,0.29582688
0,24,0.29329863,0.27000016,0.54684126,-0.9776559,-0.2768411,-1.2709545
0,25,0.27000016,0.6167076,-0.9776559,0.13068482,1.5943635,-0.13931534
0,26,0.6167076,0.40293863,0.13068482,-0.8825494,0.2722538,-1.4992571
0,27,0.40293863,0.6907525,-0.8825494,-0.42215377,1.5733019,-0.82509243
0,28,0.6907525,0.5494271,-0.42215377,0.0657953,0.97158086,-0.6249572
0,29,0.5494271,0.3714953,0.0657953,0.34386104,0.3057,-0.20556605
0,30,0.3714953,0.658319,0.34386104,-0.8377804,0.31445795,-1.2092757
0,31,0.658319,0.52469933,-0.8377804,0.64971846,1.3624797,-0.008600533
0,32,0.52469933,0.365624,0.64971846,-0.025476098,-0.28409445,-0.5501754
0,33,0.365624,0.57863986,-0.025476098,0.28706002,0.60411596,-0.07856399
0,34,0.57863986,0.3491767,0.28706002,-0.20377553,0.062116683,-0.7824154
0,35,0.3491767,0.59717745,-0.20377553,-0.91718495,0.800953,-1.2663617
0,36,0.59717745,0.6861086,-0.91718495,0.18597198,1.6032935,-0.41120547
0,37,0.6861086,0.35700393,0.18597198,0.94067943,0.17103195,0.25457084
0,38,0.35700393,0.39788586,0.94067943,0.44718158,-0.5427936,0.090177655
0,39,0.39788586,0.67080253,0.44718158,-0.9475447,0.22362095,-1.3454306
0,40,0.67080253,0.3991102,-0.9475447,-0.280562,1.3466549,-0.9513645
0,41,0.3991102,0.5246152,-0.280562,-0.08933027,0.8051772,-0.48844045
0,42,0.5246152,0.41181841,-0.08933027,0.16027959,0.5011487,-0.36433566
0,43,0.41181841,0.6871295,0.16027959,0.20877787,0.5268499,-0.20304054
0,44,0.6871295,0.5230557,0.20877787,0.85077846,0.3142778,0.16364896
0,45,0.5230557,0.704,0.85077846,0.33580658,-0.14677846,-0.1872491
0,46,0.704,0.3747295,0.33580658,0.98840433,0.038922936,0.28440434
0,47,0.3747295,0.6051273,0.98840433,0.44293776,-0.38327706,0.06820825
0,48,0.6051273,0.3751245,0.44293776,-0.41360205,-0.06781325,-1.0187293
0,49,0.3751245,0.5441507,-0.41360205,0.043854438,0.95775276,-0.33127007
1,0,0.5441507,0.47466624,0.043854438,-0.045422208,0.4308118,-0.5895729
1,1,0.47466624,0.116333455,-0.045422208,-0.8636496,0.16175567,-1.3383158
1,2,0.116333455,0.733647,-0.8636496,0.34004986,1.5972966,0.22371641
1,3,0.733647,0.6318376,0.34004986,0.917862,0.29178774,0.18421501
1,4,0.6318376,0.86119014,0.917862,-0.9207661,-0.056671858,-1.5526037
