episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,0.0770707,0.28913745,-0.96628386,-0.57905024,1.2554213,-0.65612096
0,2,0.28913745,0.1501995,-0.57905024,-0.47244355,0.7292497,-0.761581
0,3,0.1501995,0.42772666,-0.47244355,0.637377,0.9001702,0.48717752
0,4,0.42772666,0.41524917,0.637377,0.72359604,-0.22212785,0.29586938
0,5,0.41524917,0.55658746,0.72359604,-0.74494934,-0.16700858,-1.1601985
0,6,0.55658746,0.6040207,-0.74494934,-0.12343249,1.34897,-0.68002
0,7,0.6040207,0.36243904,-0.12343249,0.8825848,0.48587152,0.2785641
0,8,0.36243904,0.6204876,0.8825848,-0.112052664,-0.26209724,-0.47449172
0,9,0.6204876,0.662814,-0.112052664,0.68326193,0.7748667,0.06277436
0,10,0.662814,0.50086504,0.68326193,-0.20560208,-0.18239689,-0.8684161
0,11,0.50086504,0.5910551,-0.20560208,-0.48565117,0.7966572,-0.98651624
0,12,0.5910551,0.36421287,-0.48565117,-0.696045,0.849864,-1.2871001
0,13,0.36421287,0.344,-0.696045,-0.85857916,1.040045,-1.222792
0,14,0.344,0.49236837,-0.85857916,0.8870436,1.3509475,0.5430436
0,15,0.49236837,0.39360628,0.8870436,-0.72596264,-0.49343732,-1.218331
0,16,0.39360628,0.6022622,-0.72596264,0.38359135,1.3282249,-0.010014921
0,17,0.6022622,0.35998234,0.38359135,0.5335863,-0.023609012,-0.068675876
0,18,0.35998234,0.43389964,0.5335863,-0.070774555,-0.09968668,-0.4307569
0,19,0.43389964,0.51230764,-0.070774555,0.21434693,0.5830822,-0.21955271
0,20,0.51230764,0.67579776,0.21434693,-0.2228308,0.46145082,-0.7351384
0,21,0.67579776,0.64917284,-0.2228308,0.95053643,0.8720037,0.27473867
0,22,0.64917284,0.6247333,0.95053643,-0.7697733,-0.3258031,-1.4189461
0,23,0.6247333,0.35323608,-0.7697733,0.66053736,1.1230094,0.035804033
0,24,0.35323608,0.6211581,0.66053736,0.764351,-0.03937924,0.41111493
0,25,0.6211581,0.46024078,0.764351,0.61459404,-0.30411023,-0.0065640807
0,26,0.46024078,0.54237735,0.61459404,0.93824893,-0.07221669,0.47800815
0,27,0.54237735,0.44453278,0.93824893,0.2520264,-0.49371615,-0.29035094
0,28,0.44453278,0.38458502,0.2520264,0.60430187,0.13255861,0.15976909
0,29,0.38458502,0.44538766,0.60430187,0.20634429,-0.15891421,-0.17824073
0,30,0.44538766,0.55199796,0.20634429,-0.37242588,0.34565365,-0.8178135
0,31,0.55199796,0.6759905,-0.37242588,-0.15084717,1.0484164,-0.7028451
0,32,0.6759905,0.49664202,-0.15084717,-0.97177166,0.6474892,-1.6477622
0,33,0.49664202,0.63653725,-0.97177166,0.9184516,1.6083089,0.42180958
0,34,0.63653725,0.61789006,0.9184516,-0.35058963,-0.30056155,-0.9871269
0,35,0.61789006,0.5675257,-0.35058963,-0.13067605,0.9181153,-0.7485661
0,36,0.5675257,0.56749415,-0.13067605,-0.77306575,0.6981702,-1.3405914
0,37,0.56749415,0.6311964,-0.77306575,0.87533456,1.4042621,0.3078404
0,38,0.6311964,0.5333529,0.87533456,0.377523,-0.34198165,-0.25367337
0,39,0.5333529,0.5568094,0.377523,0.55302554,0.17928642,0.019672632
0,40,0.5568094,0.6485138,0.55302554,0.58466095,0.09548825,0.027851522
0,41,0.6485138,0.5802499,0.58466095,-0.6296486,-0.0044110417,-1.2781625
0,42,0.5802499,0.43774846,-0.6296486,-0.922411,1.0673971,-1.502661
0,43,0.43774846,0.569828,-0.922411,-0.5186119,1.492239,-0.95636034
0,44,0.569828,0.4649552,-0.5186119,0.98909044,0.9835671,0.41926247
0,45,0.4649552,0.60701764,0.98909044,-0.017517008,-0.3820728,-0.4824722
0,46,0.60701764,0.36903018,-0.017517008,-0.80000126,0.38654718,-1.4070189
0,47,0.36903018,0.4104328,-0.80000126,0.9404745,1.2104341,0.57144433
0,48,0.4104328,0.5436754,0.9404745,0.54787236,-0.3967991,0.13743958
0,49,0.5436754,0.45819694,0.54787236,0.08280537,-0.08967543,-0.46087006
1,0,0.45819694,0.060661495,0.08280537,-0.21213245,-0.022143878,-0.6703294
1,1,0.060661495,0.45205322,-0.21213245,0.46701324,0.66418564,0.40635175
1,2,0.45205322,0.36701235,0.46701324,-0.9261105,-0.10000089,-1.3781637
1,3,0.36701235,0.36114055,-0.9261105,0.5694055,1.287251,0.20239314
1,4,0.36114055,0.66207224,0.5694055,-0.017874215,0.092666745,-0.37901476
1,5,0.66207224,0.5223814,-0.017874215,0.4231267,0.54025567,-0.23894554
1,6,0.5223814,0.39753857,0.4231267,0.2619683,-0.025588125,-0.2604131
1,7,0.39753857,0.519696,0.2619683,0.5051475,0.25772768,0.107608944
1,8,0.519696,0.57824206,0.5051475,-0.46028563,0.07309455,-0.97998166
1,9,0.57824206,0.61540985,-0.46028563,0.6683112,1.0756955,0.090069115
1,10,0.61540985,0.5412903,0.6683112,0.87532735,-0.1270209,0.2599175
1,11,0.5412903,0.4224122,0.87532735,0.23913586,-0.45291516,-0.30215442
1,12,0.4224122,0.4042354,0.23913586,-0.90245014,0.16509953,-1.3248624
1,13,0.4042354,0.60890406,-0.90245014,1.0,1.5113542,0.59576464
1,14,0.60890406,0.38798118,1.0,0.7908288,-0.6120188,0.18192476
1,15,0.38798118,0.37940934,0.7908288,0.8563956,-0.41141948,0.46841443
1,16,0.37940934,0.41632256,0.8563956,-0.8864917,-0.44007304,-1.2659011
1,17,0.41632256,0.489404,-0.8864917,0.6621843,1.3758957,0.24586174
1,18,0.489404,0.4497036,0.6621843,-0.28851742,-0.2124807,-0.77792144
1,19,0.4497036,0.54286164,-0.28851742,-0.8537497,0.83137906,-1.3034533
1,20,0.54286164,0.3781301,-0.8537497,0.915153,1.2318798,0.3722914
1,21,0.3781301,0.69090974,0.915153,-0.7401333,-0.22424328,-1.1182634
1,22,0.69090974,0.63562816,-0.7401333,0.72559035,1.3757615,0.034680605
1,23,0.63562816,0.61948085,0.72559035,-0.45813587,-0.1061095,-1.0937641
1,24,0.61948085,0.36330894,-0.45813587,-0.6075734,0.8214448,-1.2270542
1,25,0.36330894,0.61886,-0.6075734,0.59371346,1.2264334,0.23040453
1,26,0.61886,0.47214913,0.59371346,0.5891763,-0.12156433,-0.02968371
1,27,0.47214913,0.46154428,0.5891763,0.22575408,-0.12763202,-0.24639505
1,28,0.46154428,0.38911745,0.22575408,0.41707084,0.16336337,-0.04447344
1,29,0.38911745,0.43789634,0.41707084,0.92186797,0.020825505,0.5327505
1,30,0.43789634,0.4293822,0.92186797,-0.088362664,-0.49248576,-0.526259
1,31,0.4293822,0.48398465,-0.088362664,-0.568033,0.5723473,-0.9974152
1,32,0.48398465,0.69679797,-0.568033,0.6244504,1.264831,0.14046574
1,33,0.69679797,0.5814307,0.6244504,0.7787239,-0.043019712,0.08192593
1,34,0.5814307,0.4617396,0.7787239,-0.9955464,-0.3169843,-1.576977
1,35,0.4617396,0.39950666,-0.9955464,-0.53717697,1.395053,-0.99891657
1,36,0.39950666,0.4478332,-0.53717697,-0.57744896,0.98501015,-0.97695565
1,37,0.4478332,0.70273507,-0.57744896,-0.43978125,1.280184,-0.8876145
1,38,0.70273507,0.6932112,-0.43978125,0.16744211,1.1329925,-0.535293
1,39,0.6932112,0.40539056,0.16744211,-0.48341003,0.23794845,-1.1766212
1,40,0.40539056,0.3896854,-0.48341003,-0.3847137,0.8730954,-0.79010427
1,41,0.3896854,0.41300842,-0.3847137,0.83582604,0.7977221,0.44614065
1,42,0.41300842,0.37961876,0.83582604,0.7207157,-0.45620728,0.30770728
1,43,0.37961876,0.40894574,0.7207157,-1.0,-0.31176996,-1.3796188
1,44,0.40894574,0.37569892,-1.0,-1.0,1.3756989,-1.4089458
1,45,0.37569892,0.49517944,-1.0,0.36284506,1.4951794,-0.012853861
1,46,0.49517944,0.37064606,0.36284506,0.69108707,0.0078009963,0.19590762
1,47,0.37064606,0.4099122,0.69108707,-0.23610139,-0.28117487,-0.60674745
1,48,0.4099122,0.3697093,-0.23610139,-0.49024054,0.6058107,-0.90015274
1,49,0.3697093,0.65114856,-0.49024054,-0.60236365,1.1413891,-0.97207296
2,0,0.65114856,0.29022112,-0.60236365,0.6191546,0.8925848,-0.031993985
2,1,0.29022112,0.58313954,0.6191546,-0.80189997,-0.036015034,-1.0921211
2,2,0.58313954,0.52932656,-0.80189997,0.2891215,1.3312266,-0.29401803
2,3,0.52932656,0.48745978,0.2891215,0.14430925,0.19833827,-0.3850173
2,4,0.48745978,0.5282469,0.14430925,-0.6213323,0.38393763,-1.1087921
2,5,0.5282469,0.5860142,-0.6213323,0.61366886,1.2073464,0.08542198
2,6,0.5860142,0.69259095,0.61366886,-0.12622415,0.07892209,-0.7122384
2,7,0.69259095,0.40317854,-0.12622415,-0.2418386,0.5294027,-0.9344295
2,8,0.40317854,0.38473755,-0.2418386,0.4148206,0.6265762,0.011642069
2,9,0.38473755,0.6326543,0.4148206,0.1632781,0.2178337,-0.22145945
2,10,0.6326543,0.4411758,0.1632781,0.32125852,0.2778977,-0.3113958
2,11,0.4411758,0.54730755,0.32125852,0.9330839,0.22604904,0.4919081
2,12,0.54730755,0.5456532,0.9330839,0.5349726,-0.38743067,-0.012334943
2,13,0.5456532,0.44938087,0.5349726,0.01585662,-0.08559173,-0.5297966
2,14,0.44938087,0.45491225,0.01585662,0.6932994,0.43905562,0.24391854
2,15,0.45491225,0.5096571,0.6932994,-0.53154504,-0.18364233,-0.9864573
2,16,0.5096571,0.584733,-0.53154504,1.0,1.116278,0.49034292
2,17,0.584733,0.40723798,1.0,0.9150237,-0.592762,0.33029068
2,18,0.40723798,0.55547786,0.9150237,-0.034865793,-0.35954583,-0.44210377
2,19,0.55547786,0.5928074,-0.034865793,0.86191875,0.6276732,0.3064409
2,20,0.5928074,0.43855545,0.86191875,-0.15993005,-0.4233633,-0.75273746
2,21,0.43855545,0.61329675,-0.15993005,-0.58861774,0.7732268,-1.0271732
2,22,0.61329675,0.344,-0.58861774,-0.52113223,0.9326178,-1.134429
2,23,0.344,0.42478916,-0.52113223,-0.4221661,0.9459214,-0.7661661
2,24,0.42478916,0.565117,-0.4221661,0.7269548,0.9872831,0.30216566
2,25,0.565117,0.6768989,0.7269548,-0.178545,-0.05005592,-0.743662
2,26,0.6768989,0.4451066,-0.178545,0.54857016,0.6236516,-0.12832874
2,27,0.4451066,0.59368986,0.54857016,0.8009305,0.045119703,0.3558239
2,28,0.59368986,0.5129826,0.8009305,-1.0,-0.2879479,-1.5936899
2,29,0.5129826,0.660256,-1.0,-0.15448157,1.660256,-0.6674642
2,30,0.660256,0.48769182,-0.15448157,-0.9763833,0.6421734,-1.6366394
2,31,0.48769182,0.3669539,-0.9763833,-0.7319314,1.3433373,-1.2196232
2,32,0.3669539,0.35964677,-0.7319314,1.0,1.0915781,0.6330461
2,33,0.35964677,0.6207473,1.0,0.48611102,-0.37925267,0.12646425
2,34,0.6207473,0.6267947,0.48611102,-0.5846331,0.14068368,-1.2053804
2,35,0.6267947,0.65757287,-0.5846331,0.5613603,1.242206,-0.065434396
2,36,0.65757287,0.6523448,0.5613603,-0.13949475,0.09098452,-0.79706764
2,37,0.6523448,0.5542033,-0.13949475,0.5810808,0.69369805,-0.07126403
2,38,0.5542033,0.6337458,0.5810808,-0.7605132,0.052664995,-1.3147165
2,39,0.6337458,0.6885999,-0.7605132,0.9136448,1.4491131,0.279899
2,40,0.6885999,0.5486656,0.9136448,0.4661533,-0.3649792,-0.22244659
2,41,0.5486656,0.43116248,0.4661533,0.02877809,-0.034990817,-0.5198875
2,42,0.43116248,0.599579,0.02877809,0.21253583,0.5708009,-0.21862665
2,43,0.599579,0.6606102,0.21253583,-0.39365086,0.44807437,-0.99322987
2,44,0.6606102,0.686408,-0.39365086,-0.36862952,1.0800588,-1.0292397
2,45,0.686408,0.5662853,-0.36862952,0.5923773,0.9349148,-0.09403068
2,46,0.5662853,0.66311777,0.5923773,0.98316413,0.07074046,0.41687882
2,47,0.66311777,0.6670002,0.98316413,0.87969786,-0.31616396,0.2165801
2,48,0.6670002,0.614696,0.87969786,0.9414289,-0.26500183,0.27442873
2,49,0.614696,0.546124,0.9414289,0.7405064,-0.39530492,0.12581038
3,0,0.546124,-0.008206554,0.7405064,0.20764115,-0.74871296,-0.33848283
3,1,-0.008206554,0.3667875,0.20764115,-0.88588315,0.15914634,-0.8776766
3,2,0.3667875,0.622187,-0.88588315,0.72573745,1.5080702,0.35894996
3,3,0.622187,0.59025097,0.72573745,-0.06621627,-0.13548648,-0.6884033
3,4,0.59025097,0.344,-0.06621627,-0.72239816,0.41021627,-1.3126491
3,5,0.344,0.37368256,-0.72239816,0.91034776,1.0960808,0.5663477
3,6,0.37368256,0.6856021,0.91034776,0.18830894,-0.22474563,-0.18537362
3,7,0.6856021,0.6699053,0.18830894,-0.9410819,0.48159635,-1.626684
3,8,0.6699053,0.5557111,-0.9410819,1.0,1.496793,0.3300947
3,9,0.5557111,0.66540635,1.0,-0.8485929,-0.33459365,-1.404304
3,10,0.66540635,0.37458697,-0.8485929,0.784495,1.2231798,0.11908865
3,11,0.37458697,0.5206278,0.784495,-0.35371202,-0.2638672,-0.728299
3,12,0.5206278,0.64294183,-0.35371202,0.025956087,0.99665385,-0.4946717
3,13,0.64294183,0.48852938,0.025956087,0.484343,0.4625733,-0.15859884
3,14,0.48852938,0.69267607,0.484343,0.85982984,0.20833308,0.37130046
3,15,0.69267607,0.42175844,0.85982984,0.49949244,-0.4380714,-0.19318363
3,16,0.42175844,0.5832788,0.49949244,0.7985206,0.08378634,0.37676218
3,17,0.5832788,0.4277747,0.7985206,-0.12830031,-0.37074593,-0.7115791
3,18,0.4277747,0.474992,-0.12830031,0.67320764,0.60329235,0.24543294
3,19,0.474992,0.56490606,0.67320764,-0.33397186,-0.10830158,-0.8089639
3,20,0.56490606,0.41161397,-0.33397186,0.8273279,0.7455858,0.26242185
3,21,0.41161397,0.39420956,0.8273279,0.7824819,-0.43311834,0.37086794
3,22,0.39420956,0.3893083,0.7824819,-0.94039893,-0.3931736,-1.3346086
3,23,0.3893083,0.67119026,-0.94039893,-0.31532562,1.6115892,-0.70463395
3,24,0.67119026,0.6905371,-0.31532562,-0.035378758,1.0058627,-0.706569
3,25,0.6905371,0.43559194,-0.035378758,0.45398363,0.4709707,-0.23655346
3,26,0.43559194,0.44108784,0.45398363,0.83867466,-0.012895793,0.40308273
3,27,0.44108784,0.56553847,0.83867466,1.0,-0.2731362,0.55891216
3,28,0.56553847,0.4480365,1.0,0.9206747,-0.5519635,0.35513622
3,29,0.4480365,0.6190485,0.9206747,0.9059166,-0.3016262,0.45788008
3,30,0.6190485,0.39027047,0.9059166,-0.9603369,-0.5156461,-1.5793854
3,31,0.39027047,0.35685194,-0.9603369,-0.73230046,1.3171889,-1.122571
3,32,0.35685194,0.6078516,-0.73230046,-0.21052723,1.340152,-0.5673792
3,33,0.6078516,0.6639033,-0.21052723,0.5730871,0.87443054,-0.03476453
3,34,0.6639033,0.6962123,0.5730871,0.22690988,0.123125196,-0.43699342
3,35,0.6962123,0.6482848,0.22690988,-1.0,0.42137492,-1.6962123
3,36,0.6482848,0.5354284,-1.0,0.093347974,1.5354284,-0.5549368
