Side,Octant,Count,Ratio,Percentage
Left,PA,72,0.03058623619371283,3.058623619371283
Left,BC,57,0.024214103653355988,2.421410365335599
Left,DE,749,0.3181818181818182,31.818181818181817
Left,FG,88,0.037383177570093455,3.7383177570093453
Left,HI,34,0.014443500424808835,1.4443500424808835
Left,JK,172,0.07306711979609176,7.306711979609176
Left,LM,969,0.41163976210705183,41.16397621070519
Left,NO,213,0.09048428207306712,9.048428207306712
Right,PA,29,0.01231945624468989,1.231945624468989
Right,BC,227,0.09643160577740018,9.643160577740018
Right,DE,965,0.40994052676295667,40.99405267629567
Right,FG,140,0.059473237043330504,5.9473237043330505
Right,HI,29,0.01231945624468989,1.231945624468989
Right,JK,129,0.05480033984706882,5.480033984706882
Right,LM,794,0.3372982158028887,33.72982158028887
Right,NO,41,0.017417162276975363,1.7417162276975362
