episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,0.87811154,-0.056669354,-0.8502151,0.64600646,0.7935457,-0.23210508
0,2,-0.056669354,-0.05014075,0.64600646,0.08963272,-0.6961472,0.14630207
0,3,-0.05014075,0.55090773,0.08963272,0.7933457,0.461275,0.8434864
0,4,0.55090773,0.38398772,0.7933457,-0.10009585,-0.40935796,-0.6510036
0,5,0.38398772,0.15617573,-0.10009585,0.8102559,0.2562716,0.42626816
0,6,0.15617573,-0.6654895,0.8102559,-0.9568577,-1.4757454,-1.1130334
0,7,-0.6654895,-0.92912143,-0.9568577,0.39028004,0.027736247,1.0557696
0,8,-0.92912143,0.96050847,0.39028004,-0.32643372,0.57022846,0.6026877
0,9,0.96050847,0.7296304,-0.32643372,0.9895582,1.0560641,0.029049754
0,10,0.7296304,-0.68012565,0.9895582,0.619484,-1.6696839,-0.1101464
0,11,-0.68012565,-0.042360757,0.619484,-0.778355,-0.6618448,-0.09822935
0,12,-0.042360757,0.2059779,-0.778355,-0.4915017,0.9843329,-0.44914094
0,13,0.2059779,-0.21305919,-0.4915017,0.6140586,0.2784425,0.4080807
0,14,-0.21305919,0.45233715,0.6140586,-0.6683211,-0.16172147,-0.4552619
0,15,0.45233715,0.26271528,-0.6683211,-0.62359357,0.93103635,-1.0759307
0,16,0.26271528,-0.6971196,-0.62359357,0.77017677,-0.073526025,0.5074615
0,17,-0.6971196,-0.132387,0.77017677,-0.10713423,-0.90256375,0.5899854
0,18,-0.132387,-0.721689,-0.10713423,0.95884925,-0.61455476,1.0912362
0,19,-0.721689,-0.06250678,0.95884925,0.61365527,-1.021356,1.3353443
0,20,-0.06250678,0.09953143,0.61365527,-0.7102373,-0.51412386,-0.6477305
0,21,0.09953143,-0.004153818,-0.7102373,0.16961017,0.70608354,0.070078745
0,22,-0.004153818,0.5292016,0.16961017,0.85343254,0.35959145,0.8575864
0,23,0.5292016,-0.1703617,0.85343254,-1.0,-1.0237942,-1.5292016
0,24,-0.1703617,0.6280542,-1.0,-0.6489886,1.6280541,-0.4786269
0,25,0.6280542,-0.31657875,-0.6489886,-0.34502813,0.33240986,-0.9730823
0,26,-0.31657875,0.43502998,-0.34502813,-0.032848164,0.78005815,0.28373057
0,27,0.43502998,1.0,-0.032848164,-0.06198281,1.0328481,-0.4970128
0,28,1.0,0.7785,-0.06198281,-0.15287173,0.84048283,-1.1528717
0,29,0.7785,0.8943649,-0.15287173,-0.98012215,1.0472367,-1.7586222
0,30,0.8943649,-1.0,-0.98012215,0.6849717,-0.019877851,-0.2093932
0,31,-1.0,-1.0,0.6849717,-0.31669855,-1.6849717,0.68330145
0,32,-1.0,0.25244385,-0.31669855,-0.12118691,0.5691424,0.8788131
0,33,0.25244385,0.70720756,-0.12118691,0.81579417,0.8283945,0.5633503
0,34,0.70720756,-0.6833936,0.81579417,0.997818,-1.4991877,0.29061043
0,35,-0.6833936,0.32298923,0.997818,-0.8678306,-0.67482877,-0.18443698
0,36,0.32298923,0.66189647,-0.8678306,0.028657377,1.529727,-0.29433185
0,37,0.66189647,1.0,0.028657377,-0.56616414,0.9713426,-1.2280606
0,38,1.0,0.06125842,-0.56616414,0.56823796,0.6274226,-0.43176204
0,39,0.06125842,-0.4950989,0.56823796,0.78920656,-1.0633368,0.7279481
0,40,-0.4950989,0.100006215,0.78920656,0.9573533,-0.68920034,1.4524522
0,41,0.100006215,-0.31690195,0.9573533,0.122821994,-1.2742553,0.022815779
0,42,-0.31690195,0.23938861,0.122821994,-0.6976576,0.11656662,-0.38075563
0,43,0.23938861,0.93099403,-0.6976576,0.40572622,1.6286516,0.16633761
0,44,0.93099403,-0.27951032,0.40572622,0.7507428,-0.6852366,-0.18025124
0,45,-0.27951032,-0.44592148,0.7507428,0.21951582,-1.1966643,0.49902612
0,46,-0.44592148,-1.0,0.21951582,0.65637636,-1.2195158,1.1022978
0,47,-1.0,0.32586136,0.65637636,0.21512444,-0.330515,1.2151245
0,48,0.32586136,0.038001135,0.21512444,0.06937865,-0.17712331,-0.25648272
0,49,0.038001135,0.78272223,0.06937865,0.6655248,0.71334356,0.62752366
1,0,0.78272223,1.0,0.6655248,-0.5362054,0.33447522,-1.3189276
1,1,1.0,0.13688484,-0.5362054,-0.5184012,0.6730902,-1.5184011
1,2,0.13688484,0.11596413,-0.5184012,-0.35154432,0.6343653,-0.48842916
1,3,0.11596413,0.495256,-0.35154432,1.0,0.8468003,0.8840359
1,4,0.495256,-0.4535849,1.0,0.9604522,-1.4535849,0.4651962
1,5,-0.4535849,0.41406026,0.9604522,0.2365033,-0.54639196,0.6900882
1,6,0.41406026,-0.76363206,0.2365033,-0.15211779,-1.0001354,-0.5661781
1,7,-0.76363206,0.9880835,-0.15211779,-0.8072809,1.1402013,-0.04364884
1,8,0.9880835,0.4794053,-0.8072809,0.007140547,1.2866862,-0.98094296
1,9,0.4794053,-0.7780916,0.007140547,-0.84847647,-0.7852322,-1.3278818
1,10,-0.7780916,0.5692824,-0.84847647,-0.7731087,1.417759,0.0049828887
1,11,0.5692824,0.51744246,-0.7731087,-0.36963016,1.2905512,-0.9389126
1,12,0.51744246,-0.28339726,-0.36963016,0.87399054,0.0862329,0.35654807
1,13,-0.28339726,-0.22601874,0.87399054,0.2231701,-1.1000093,0.50656736
