episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,0.2981229,-0.28963137,-0.5572772,0.6543037,0.26764584,0.35618082
0,2,-0.28963137,-0.21636711,0.6543037,0.47832474,-0.87067086,0.76795614
0,3,-0.21636711,-0.055970624,0.47832474,0.44882375,-0.5342954,0.6651909
0,4,-0.055970624,-0.7685695,0.44882375,0.22599256,-1.2173933,0.28196317
0,5,-0.7685695,0.37564763,0.22599256,-0.5655467,0.14965507,0.20302284
0,6,0.37564763,0.76598406,-0.5655467,-0.84835297,1.3315308,-1.2240006
0,7,0.76598406,0.568916,-0.84835297,0.22773093,1.417269,-0.5382531
0,8,0.568916,-0.10775716,0.22773093,-0.2707044,-0.33548808,-0.8396204
0,9,-0.10775716,0.70806175,-0.2707044,-0.46598294,0.97876614,-0.3582258
0,10,0.70806175,-0.8191008,-0.46598294,-0.32927865,-0.35311785,-1.0373404
0,11,-0.8191008,0.74174464,-0.32927865,0.1981258,1.0710232,1.0172266
0,12,0.74174464,-0.60133237,0.1981258,-0.2834273,-0.79945815,-1.025172
0,13,-0.60133237,-0.22508842,-0.2834273,-0.008473702,0.05833888,0.5928587
0,14,-0.22508842,-1.0,-0.008473702,-0.30770296,-0.9915263,-0.08261454
0,15,-1.0,-0.6132678,-0.30770296,-1.0,-0.30556482,0.0
0,16,-0.6132678,-0.90274537,-1.0,-0.0391985,0.097254634,0.57406926
0,17,-0.90274537,-0.8360847,-0.0391985,0.040624432,-0.7968862,0.9433698
0,18,-0.8360847,-0.9191621,0.040624432,0.7737263,-0.95978653,1.6098111
0,19,-0.9191621,-0.2953887,0.7737263,-0.25506914,-1.0691149,0.66409296
0,20,-0.2953887,-0.61455333,-0.25506914,0.7296453,-0.3594842,1.025034
0,21,-0.61455333,-0.99424815,0.7296453,-0.18186527,-1.7238934,0.43268806
0,22,-0.99424815,-0.29443124,-0.18186527,-0.89477444,-0.112565964,0.099473715
0,23,-0.29443124,0.5540722,-0.89477444,0.98028034,1.4488466,1.2747116
0,24,0.5540722,-0.38835776,0.98028034,-0.7048852,-1.368638,-1.2589574
0,25,-0.38835776,0.6995149,-0.7048852,-0.7336374,1.4044001,-0.34527963
0,26,0.6995149,0.72570086,-0.7336374,-0.9378333,1.4593382,-1.6373482
0,27,0.72570086,-0.37033704,-0.9378333,-0.9682783,0.5674963,-1.6939791
0,28,-0.37033704,0.24286269,-0.9682783,0.55813956,1.211141,0.9284766
0,29,0.24286269,0.7352716,0.55813956,0.21772894,0.17713201,-0.025133744
0,30,0.7352716,-0.8515358,0.21772894,0.99322265,-1.0692648,0.25795108
0,31,-0.8515358,-1.0,0.99322265,-0.8069167,-1.9932227,0.044619083
0,32,-1.0,0.8436677,-0.8069167,-1.0,1.6505845,0.0
0,33,0.8436677,-1.0,-1.0,0.5294964,0.0,-0.3141713
0,34,-1.0,-0.6397154,0.5294964,-0.5231824,-1.1692117,0.4768176
0,35,-0.6397154,0.4243053,-0.5231824,-0.056962192,0.9474877,0.5827532
0,36,0.4243053,0.7670519,-0.056962192,-0.36449802,0.82401407,-0.78880334
0,37,0.7670519,0.5540526,-0.36449802,-0.45089626,0.9185506,-1.2179482
0,38,0.5540526,0.42406377,-0.45089626,-0.34385547,0.87496006,-0.8979081
0,39,0.42406377,-0.7638432,-0.34385547,0.07656689,-0.4199877,-0.34749687
0,40,-0.7638432,1.0,0.07656689,0.40333158,0.9234331,1.1671748
0,41,1.0,-0.95303565,0.40333158,-0.4342974,-1.3563672,-1.4342974
0,42,-0.95303565,0.8304342,-0.4342974,-1.0,1.2647316,-0.046964347
0,43,0.8304342,-0.71812797,-1.0,0.4526961,0.28187203,-0.3777381
0,44,-0.71812797,-0.19101444,0.4526961,-0.7182398,-0.64371055,-0.00011181831
0,45,-0.19101444,-0.34154266,-0.7182398,-0.9997209,0.37669712,-0.8087064
0,46,-0.34154266,-0.74030954,-0.9997209,-0.20897952,0.25941133,0.13256314
0,47,-0.74030954,0.41736263,-0.20897952,0.37088504,0.6263422,1.1111946
0,48,0.41736263,-0.9227891,0.37088504,-0.39489597,-1.2936741,-0.8122586
0,49,-0.9227891,0.9034676,-0.39489597,-0.70072037,1.2983636,0.22206873
1,0,0.9034676,0.045453705,-0.70072037,0.55277747,0.7461741,-0.35069013
1,1,0.045453705,-0.9018679,0.55277747,-0.771518,-1.4546454,-0.8169717
1,2,-0.9018679,0.46534216,-0.771518,-0.68036276,1.2368602,0.22150517
1,3,0.46534216,-0.32382184,-0.68036276,-0.77509946,0.35654092,-1.2404416
1,4,-0.32382184,0.90982926,-0.77509946,1.0,1.6849287,1.3238218
1,5,0.90982926,-0.17278528,1.0,-0.31223613,-1.1727853,-1.2220654
1,6,-0.17278528,0.3968893,-0.31223613,0.23752016,0.7091254,0.41030544
1,7,0.3968893,0.30025658,0.23752016,-0.009024709,0.06273642,-0.405914
1,8,0.30025658,-0.4393872,-0.009024709,0.04659906,-0.4303625,-0.25365752
1,9,-0.4393872,0.22732425,0.04659906,-0.27563384,0.18072519,0.16375336
1,10,0.22732425,-0.91542995,-0.27563384,0.13355824,-0.63979614,-0.093766004
1,11,-0.91542995,1.0,0.13355824,-0.2142931,0.8664417,0.7011368
1,12,1.0,-0.8660279,-0.2142931,0.24937761,-0.65173477,-0.7506224
1,13,-0.8660279,0.39836305,0.24937761,-0.24907877,0.14898545,0.61694914
1,14,0.39836305,-0.6506284,-0.24907877,1.0,-0.40154964,0.60163695
1,15,-0.6506284,0.23110583,1.0,0.6756164,-0.7688942,1.3262448
1,16,0.23110583,0.3673754,0.6756164,1.0,-0.30824098,0.7688942
1,17,0.3673754,-0.66631454,1.0,0.12398131,-1.6663146,-0.24339409
1,18,-0.66631454,0.10001924,0.12398131,-0.3858803,-0.023962073,0.28043425
1,19,0.10001924,-0.7674465,-0.3858803,-0.3996164,-0.38156623,-0.49963564
1,20,-0.7674465,0.015218124,-0.3996164,0.74753225,0.4148345,1.5149788
1,21,0.015218124,-0.66076887,0.74753225,0.15796608,-1.4083011,0.14274795
1,22,-0.66076887,0.28916544,0.15796608,0.30353227,0.13119936,0.9643011
1,23,0.28916544,-0.27569172,0.30353227,0.027549945,-0.579224,-0.26161548
1,24,-0.27569172,-0.28662702,0.027549945,-0.22976631,-0.31417698,0.04592541
1,25,-0.28662702,0.14341427,-0.22976631,0.8156839,0.37318057,1.1023109
1,26,0.14341427,-0.7792728,0.8156839,-0.836255,-1.5949566,-0.9796693
1,27,-0.7792728,0.9863479,-0.836255,-0.54570174,1.822603,0.23357105
1,28,0.9863479,-0.46211088,-0.54570174,0.8205266,0.083590865,-0.16582131
1,29,-0.46211088,-1.0,0.8205266,1.0,-1.8205266,1.4621109
1,30,-1.0,-0.24378504,1.0,-0.17292126,-1.243785,0.82707876
1,31,-0.24378504,0.55014,-0.17292126,-0.66230035,0.72306126,-0.41851532
1,32,0.55014,0.62560654,-0.66230035,-0.28113228,1.2879069,-0.8312723
1,33,0.62560654,-0.76714176,-0.28113228,0.031947345,-0.48600948,-0.59365916
1,34,-0.76714176,-0.41114724,0.031947345,0.25038892,-0.44309458,1.0175307
1,35,-0.41114724,-0.315409,0.25038892,-0.252192,-0.5657979,0.15895525
1,36,-0.315409,-0.007350333,-0.252192,-0.98186433,0.24484167,-0.6664553
1,37,-0.007350333,0.4372774,-0.98186433,-0.50723696,1.4191418,-0.49988663
1,38,0.4372774,-1.0,-0.50723696,-1.0,-0.49276304,-1.4372774
2,0,-1.0,0.205466,-1.0,0.78781503,1.205466,1.7878151
2,1,0.205466,0.24424294,0.78781503,0.88994914,-0.54357207,0.6844832
2,2,0.24424294,-0.28804037,0.88994914,0.29482892,-1.1779895,0.050585985
2,3,-0.28804037,0.5241159,0.29482892,0.73350424,0.229287,1.0215446
2,4,0.5241159,-0.86056036,0.73350424,0.7749442,-1.5940646,0.25082827
2,5,-0.86056036,-0.9369968,0.7749442,0.48930478,-1.711941,1.3498652
2,6,-0.9369968,0.8801806,0.48930478,0.19808136,0.39087582,1.1350782
2,7,0.8801806,-0.7746531,0.19808136,0.38232103,-0.97273445,-0.49785957
2,8,-0.7746531,0.06186983,0.38232103,0.77807057,-0.3204512,1.5527236
2,9,0.06186983,-0.29011005,0.77807057,-0.31191382,-1.0681806,-0.37378365
2,10,-0.29011005,1.0,-0.31191382,0.5485021,1.3119138,0.83861214
