episode,step,agent1_prev_action,agent1_curr_action,agent2_prev_action,agent2_curr_action,agent1_response_to_agent2,agent2_response_to_agent1
0,1,0.26442546,0.6547143,0.45815426,-0.33314973,0.19656003,-0.5975752
0,2,0.6547143,0.6828997,-0.33314973,-1.0,1.0160494,-1.6547143
0,3,0.6828997,-0.13034928,-1.0,-0.16129085,0.8696507,-0.8441906
0,4,-0.13034928,0.31582063,-0.16129085,0.8564205,0.4771115,0.9867698
0,5,0.31582063,0.4031028,0.8564205,0.92228955,-0.45331773,0.6064689
0,6,0.4031028,0.5193829,0.92228955,0.30972627,-0.40290666,-0.09337652
0,7,0.5193829,0.42349967,0.30972627,0.8358175,0.113773406,0.31643462
0,8,0.42349967,0.64050406,0.8358175,1.0,-0.19531345,0.5765003
0,9,0.64050406,0.51264906,1.0,-0.8617204,-0.48735094,-1.5022244
0,10,0.51264906,0.40324053,-0.8617204,-0.8885082,1.2649609,-1.4011573
0,11,0.40324053,0.39335126,-0.8885082,-0.8531722,1.2818594,-1.2564127
0,12,0.39335126,0.364713,-0.8531722,-0.8746308,1.2178853,-1.267982
0,13,0.364713,0.38629362,-0.8746308,0.18561977,1.2609245,-0.17909324
0,14,0.38629362,0.5645566,0.18561977,0.13549453,0.37893683,-0.2507991
0,15,0.5645566,0.67218804,0.13549453,0.6012398,0.5366935,0.0366832
0,16,0.67218804,0.65536,0.6012398,0.9878886,0.054120183,0.31570053
0,17,0.65536,0.67020106,0.9878886,0.5315816,-0.3176875,-0.1237784
0,18,0.67020106,0.344,0.5315816,0.8422922,-0.18758157,0.17209113
0,19,0.344,0.37148976,0.8422922,0.877774,-0.47080243,0.533774
0,20,0.37148976,0.6970228,0.877774,0.6906451,-0.1807512,0.31915534
0,21,0.6970228,0.59303796,0.6906451,-0.066714,-0.097607136,-0.7637368
0,22,0.59303796,0.67988235,-0.066714,-0.9129756,0.74659634,-1.5060136
0,23,0.67988235,0.66107976,-0.9129756,-0.14353828,1.5740554,-0.82342064
0,24,0.66107976,0.3778449,-0.14353828,-0.9415627,0.52138317,-1.6026425
0,25,0.3778449,0.36391628,-0.9415627,0.7389034,1.305479,0.3610585
0,26,0.36391628,0.69060016,0.7389034,-0.8842884,-0.048303246,-1.2482047
0,27,0.69060016,0.6711893,-0.8842884,0.6470208,1.5554776,-0.04357934
0,28,0.6711893,0.5974443,0.6470208,0.63525534,-0.04957652,-0.03593397
0,29,0.5974443,0.3583953,0.63525534,0.16239545,-0.27686003,-0.43504885
0,30,0.3583953,0.35270613,0.16239545,-0.5003807,0.19031069,-0.858776
0,31,0.35270613,0.64871997,-0.5003807,-0.85971516,1.1491007,-1.2124213
0,32,0.64871997,0.46057296,-0.85971516,0.017632775,1.3202882,-0.6310872
0,33,0.46057296,0.51633537,0.017632775,0.46226397,0.4987026,0.0016910136
0,34,0.51633537,0.36983126,0.46226397,-0.7332688,-0.09243271,-1.2496042
0,35,0.36983126,0.6340239,-0.7332688,0.98977774,1.3672926,0.6199465
0,36,0.6340239,0.37125212,0.98977774,-0.78895915,-0.6185256,-1.422983
0,37,0.37125212,0.67789036,-0.78895915,0.43537915,1.4668496,0.06412703
0,38,0.67789036,0.5798128,0.43537915,-0.52682304,0.14443368,-1.2047133
0,39,0.5798128,0.60775924,-0.52682304,0.76309043,1.1345823,0.1832776
0,40,0.60775924,0.40882337,0.76309043,0.6336062,-0.35426706,0.025846958
0,41,0.40882337,0.34956428,0.6336062,-0.107843794,-0.2840419,-0.5166672
0,42,0.34956428,0.622352,-0.107843794,-0.7731967,0.7301958,-1.122761
0,43,0.622352,0.6499636,-0.7731967,-0.13754913,1.4231603,-0.75990117
0,44,0.6499636,0.63781816,-0.13754913,-1.0,0.77536726,-1.6499636
0,45,0.63781816,0.6941085,-1.0,-0.82352734,1.6941085,-1.4613454
0,46,0.6941085,0.50567913,-0.82352734,0.89319545,1.3292065,0.19908696
0,47,0.50567913,0.40303352,0.89319545,-0.12266536,-0.49016193,-0.6283445
0,48,0.40303352,0.6777695,-0.12266536,-0.27937382,0.8004348,-0.6824074
0,49,0.6777695,0.40764758,-0.27937382,0.8966069,0.6870214,0.21883744
1,0,0.40764758,0.20369641,0.8966069,0.6069209,-0.6929105,0.19927332
1,1,0.20369641,0.34932685,0.6069209,-0.012186468,-0.25759405,-0.21588288
