person_id,personality_type,total_behaviors,mean_incongruence,behavior_0,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6,behavior_7
0,balanced,9,3.104369696541129,0,0,1,2,1,1,0,4
1,balanced,9,3.388003053050221,1,0,1,2,2,1,0,2
2,balanced,11,3.3241522409461415,0,1,1,2,1,2,1,3
3,balanced,8,3.548101187639017,0,0,0,1,3,0,0,4
4,balanced,9,3.3733724391155144,0,2,2,0,2,1,1,1
5,balanced,10,3.528481862257253,0,1,1,1,3,0,1,3
6,balanced,10,3.5054648468739678,0,1,2,1,2,1,1,2
7,balanced,9,3.425197882515364,1,0,1,1,2,2,0,2
8,balanced,9,3.4929550825822,0,0,1,1,2,1,0,4
9,balanced,9,3.8042302258502385,0,0,1,2,2,1,0,3
10,balanced,9,3.5795165861719043,0,1,1,2,1,1,1,2
11,balanced,10,3.3645775503237028,1,0,1,2,1,2,0,3
12,balanced,10,3.381540741304867,0,1,1,2,1,1,1,3
13,balanced,11,4.020102210612185,0,0,0,5,0,1,0,5
14,balanced,10,3.5671885141793953,1,0,1,2,2,1,0,3
15,balanced,10,3.500272517016664,0,0,1,3,1,1,1,3
16,balanced,11,3.46759682203987,0,0,2,3,1,0,1,4
17,balanced,10,3.3809046823879543,0,0,1,2,2,1,0,4
18,balanced,9,3.393176645424907,0,0,2,1,1,1,1,3
19,balanced,10,3.7123699484854997,1,0,1,1,3,1,0,3
20,borderline,1,4.504959477651401,0,0,0,0,0,0,1,0
21,borderline,6,3.846251749678116,0,0,0,2,1,0,2,1
22,borderline,8,3.9764535903413654,0,0,0,4,0,0,1,3
23,borderline,8,3.8188110524218026,0,0,2,1,2,0,1,2
24,borderline,10,4.138670112889718,0,0,0,4,1,0,1,4
25,borderline,7,4.096576392234295,0,0,0,2,1,0,2,2
26,borderline,8,4.2019560463235885,0,0,0,3,1,0,2,2
27,borderline,6,4.054035473581026,0,0,0,2,1,0,2,1
28,borderline,1,3.8102379231232657,0,0,0,0,0,0,1,0
29,borderline,7,3.9989759505586915,0,0,0,2,1,0,2,2
30,borderline,9,3.955843917014162,0,0,0,3,1,0,2,3
31,borderline,6,3.81507770581096,0,0,0,1,2,0,1,2
32,borderline,1,4.652169579355364,0,0,0,0,0,0,1,0
33,borderline,8,3.9227932364054543,0,0,0,3,1,0,2,2
34,borderline,7,4.016441431374622,0,0,0,2,1,0,2,2
35,borderline,1,5.269382235041376,0,0,0,0,0,0,1,0
36,borderline,5,4.097749736403883,0,0,0,1,1,0,1,2
37,borderline,5,4.2410706590656515,0,0,0,1,1,0,2,1
38,borderline,7,3.8805414062458747,0,0,0,2,1,0,2,2
39,borderline,7,4.246672669283438,0,0,0,2,1,0,2,2
40,narcissistic,10,4.391534689665814,1,0,0,1,3,1,1,3
41,narcissistic,9,4.622312168601822,0,0,0,2,2,1,1,3
42,narcissistic,9,4.679089816649841,0,0,0,2,2,1,1,3
43,narcissistic,9,4.823697489270029,0,0,1,1,1,1,2,3
44,narcissistic,10,4.253705481214147,1,0,1,1,2,1,2,2
45,narcissistic,9,4.523718087617453,0,0,0,2,2,1,1,3
46,narcissistic,9,4.777860458937194,0,0,0,2,2,1,1,3
47,narcissistic,8,4.8970289473435935,0,1,0,0,2,2,1,2
48,narcissistic,10,4.578173987843074,0,0,0,2,2,1,1,4
49,narcissistic,10,4.497847190833515,1,0,1,1,2,1,2,2
50,narcissistic,8,4.848655733248084,0,0,0,1,2,1,1,3
51,narcissistic,8,5.065905567850484,0,0,0,1,2,1,2,2
52,narcissistic,9,4.69355795796152,1,0,0,1,2,1,1,3
53,narcissistic,9,4.6791806540504375,0,0,0,2,2,1,1,3
54,narcissistic,10,4.197285471387358,1,0,1,1,2,1,2,2
55,narcissistic,8,4.630926843779505,0,0,0,1,2,1,1,3
56,narcissistic,10,4.440183850529482,1,0,0,1,3,1,1,3
57,narcissistic,9,4.590370736708181,0,0,0,2,2,1,1,3
58,narcissistic,10,4.486668276268023,1,0,0,1,3,1,1,3
59,narcissistic,9,4.5688771973356985,0,0,0,2,2,1,1,3
60,avoidant,9,3.560156298270405,0,0,1,3,0,1,0,4
61,avoidant,10,3.3997398888884116,0,2,1,1,1,2,1,2
62,avoidant,9,3.578028217053876,0,0,1,3,0,1,0,4
63,avoidant,9,3.577445968299047,0,0,1,3,0,1,0,4
64,avoidant,6,3.5663028235782903,0,0,1,2,0,1,0,2
65,avoidant,9,3.3427977892345075,0,1,2,1,1,1,1,2
66,avoidant,9,3.5659753249030506,0,0,1,3,0,1,0,4
67,avoidant,9,3.4169648405510387,0,2,1,1,1,1,1,2
68,avoidant,9,3.3361483406469787,0,0,0,5,0,0,0,4
69,avoidant,11,3.4822145959866395,0,1,1,3,1,1,1,3
70,avoidant,9,3.3875487970299365,0,0,1,3,0,1,0,4
71,avoidant,8,3.6656863546456324,0,0,1,3,0,1,0,3
72,avoidant,11,3.7043503662882706,0,0,0,6,0,0,0,5
73,avoidant,9,3.455800397397483,0,0,1,3,0,1,0,4
74,avoidant,10,3.6065803012858986,0,0,1,4,0,1,0,4
75,avoidant,9,3.433757762715795,0,1,1,2,1,1,1,2
76,avoidant,8,3.5684367714510614,0,0,1,3,0,1,0,3
77,avoidant,9,3.5559171061356247,0,0,1,3,0,1,0,4
78,avoidant,9,3.461901246346053,0,0,1,3,0,1,0,4
79,avoidant,10,3.6264436398272806,0,0,1,4,0,1,0,4
80,random,9,4.01493042942026,0,0,3,1,1,0,0,4
81,random,8,2.7071678659682683,0,0,3,0,0,3,2,0
82,random,8,3.4184691272796934,0,0,2,1,0,2,0,3
83,random,9,3.3614883183197515,0,0,2,2,1,0,2,2
84,random,8,2.993550164870738,0,0,0,0,4,0,0,4
85,random,9,3.42879829259031,0,0,3,0,0,3,0,3
86,random,8,3.9856943676066074,0,0,1,1,1,2,0,3
87,random,8,3.277524942480258,0,0,2,0,1,2,0,3
88,random,9,4.364081448778968,0,0,1,2,2,0,0,4
89,random,8,2.9357319156458965,0,0,2,0,2,0,0,4
90,random,9,3.332153641645332,0,0,4,0,0,2,1,2
91,random,8,2.5368776667242936,0,0,3,0,0,2,3,0
92,random,8,3.3475274558245385,0,1,1,0,3,1,0,2
93,random,8,3.131997515394549,0,0,1,1,2,0,0,4
94,random,10,3.39616951917657,0,1,1,2,2,0,1,3
95,random,10,3.313841297150995,0,0,3,0,1,2,0,4
96,random,10,3.182992310120968,0,0,0,4,1,0,1,4
97,random,9,2.905620437346046,0,0,3,0,0,3,0,3
98,random,8,3.881410419622936,0,0,3,0,0,2,0,3
99,random,10,3.288623825443855,0,0,1,3,0,1,2,3
