agent1_type,agent2_type,payoff1_type,payoff2_type,action_method,n_simulations,n_rounds,mean_final_warmth,std_final_warmth,mean_action_difference,std_action_difference,convergence_rate,high_cooperation_rate,mean_total_payoff,payoff_balance,mean_belief_accuracy_1,mean_belief_accuracy_2,action_correlation
secure,secure,gaussian_matching,gaussian_matching,thompson,10,200,0.8129271304752064,0.00013472127826985592,0.045005401201721126,0.0029657367883563755,1.0,1.0,4949.127064956774,0.0,0.9988832434732977,0.9988805757252132,0.15890703623879726
secure,secure,gaussian_matching,gaussian_matching,ucb,10,200,0.9999948699692085,0.0,0.0,0.0,1.0,1.0,5199.99384396305,0.0,0.9970297537626812,0.9970297537626812,0.9999999999999998
secure,secure,gaussian_matching,symmetric_gaussian,thompson,10,200,0.8907729983491892,0.010898330754558927,0.04275378170887238,0.0035713911399685677,1.0,1.0,4312.704075782347,731.5973463409969,0.9980032541672896,0.9982190626970829,0.5242524043197097
secure,secure,gaussian_matching,symmetric_gaussian,ucb,10,200,0.9999944545541108,4.154150976543036e-07,8.308301953086072e-07,0.0,1.0,1.0,4666.65040001711,533.3429454423026,0.9970297619887226,0.9970297537626812,0.9999999999999998
secure,secure,symmetric_gaussian,gaussian_matching,thompson,10,200,0.8953227941165254,0.0108154853294537,0.040564392745856395,0.003112121011666447,1.0,1.0,4328.377515465771,722.9724588132469,0.9981731949625042,0.9979590269361784,0.5140867008731703
secure,secure,symmetric_gaussian,gaussian_matching,ucb,10,200,0.9999944545541108,4.154150976543036e-07,8.308301953086072e-07,0.0,1.0,1.0,4666.65040001711,533.3429454423026,0.9970297537626812,0.9970297619887226,0.9999999999999998
secure,secure,symmetric_gaussian,symmetric_gaussian,thompson,10,200,0.9338854417124831,0.0003243884438437483,0.03078873179679532,0.002300790881006475,1.0,1.0,3799.517737689223,0.0,0.9976810907905315,0.9976875143240729,0.5523009796210183
secure,secure,symmetric_gaussian,symmetric_gaussian,ucb,10,200,0.9999940391390132,0.0,0.0,0.0,1.0,1.0,4133.305515982063,0.0,0.9970297619887226,0.9970297619887226,0.9999999999999998
secure,anxious,gaussian_matching,gaussian_matching,thompson,10,200,0.7097842183078469,0.0027577940312528693,0.045894255651433256,0.008988520654176166,1.0,1.0,4809.989908471548,0.0,0.9996811386006924,0.9953811525270083,0.2987098851364546
secure,anxious,gaussian_matching,gaussian_matching,ucb,10,200,0.9999948699692085,0.0,0.0,0.0,1.0,1.0,5199.99384396305,0.0,0.9970297537626812,0.9911330807393712,0.9999999999999998
secure,anxious,gaussian_matching,symmetric_gaussian,thompson,10,200,0.8235237024168938,0.012915036335957086,0.05636211915101327,0.003291158608591361,1.0,1.0,4093.3147654358095,851.5135734261544,0.9986491213984867,0.9939318916342719,0.4423726675051668
secure,anxious,gaussian_matching,symmetric_gaussian,ucb,10,200,0.9999944545541108,4.154150976543036e-07,8.308301953086072e-07,0.0,1.0,1.0,4666.65040001711,533.3429454423026,0.9970297619887226,0.9911330807393712,0.9999999999999998
secure,anxious,symmetric_gaussian,gaussian_matching,thompson,10,200,0.8082856460332166,0.01935809336197869,0.06203152752852311,0.005138328364398749,1.0,1.0,4033.479180633557,877.2269642800927,0.999119529181473,0.993680141782337,0.4394701526412416
secure,anxious,symmetric_gaussian,gaussian_matching,ucb,10,200,0.9999944545541108,4.154150976543036e-07,8.308301953086072e-07,0.0,1.0,1.0,4666.65040001711,533.3429454423026,0.9970297537626812,0.99113309301765,0.9999999999999998
secure,anxious,symmetric_gaussian,symmetric_gaussian,thompson,10,200,0.8853346391228849,0.003849161902564735,0.04716317112160973,0.005452888814288962,1.0,1.0,3544.3856802536698,0.0,0.9982031140869275,0.9927706827434661,0.5379206413936877
secure,anxious,symmetric_gaussian,symmetric_gaussian,ucb,10,200,0.9999940391390132,0.0,0.0,0.0,1.0,1.0,4133.305515982063,0.0,0.9970297619887226,0.99113309301765,0.9999999999999998
anxious,secure,gaussian_matching,gaussian_matching,thompson,10,200,0.7106816094218468,0.003491892252259321,0.04621296303988262,0.007104459788912011,1.0,1.0,4814.569683628685,0.0,0.9953570418471807,0.9996612730875651,0.3187440643797809
anxious,secure,gaussian_matching,gaussian_matching,ucb,10,200,0.9999948699692085,0.0,0.0,0.0,1.0,1.0,5199.99384396305,0.0,0.9911330807393712,0.9970297537626812,0.9999999999999998
anxious,secure,gaussian_matching,symmetric_gaussian,thompson,10,200,0.815130589082656,0.018796027311514307,0.06118664159237547,0.004130874358978516,1.0,1.0,4054.3240009628994,866.2025936142795,0.9935872913833373,0.9990461924577115,0.4172450471860717
anxious,secure,gaussian_matching,symmetric_gaussian,ucb,10,200,0.9999944545541108,4.154150976543036e-07,8.308301953086072e-07,0.0,1.0,1.0,4666.65040001711,533.3429454423026,0.99113309301765,0.9970297537626812,0.9999999999999998
anxious,secure,symmetric_gaussian,gaussian_matching,thompson,10,200,0.8171913541504164,0.013466311483185223,0.05758344765345742,0.005358187013423709,1.0,1.0,4072.2323311451587,862.8474099054542,0.9940336200591049,0.9987063597462019,0.4290476420155108
anxious,secure,symmetric_gaussian,gaussian_matching,ucb,10,200,0.9999944545541108,4.154150976543036e-07,8.308301953086072e-07,0.0,1.0,1.0,4666.65040001711,533.3429454423026,0.9911330807393712,0.9970297619887226,0.9999999999999998
anxious,secure,symmetric_gaussian,symmetric_gaussian,thompson,10,200,0.8871877712976678,0.004243149747278685,0.0469494718885911,0.004293790618285567,1.0,1.0,3553.1401016586906,0.0,0.9927374740732273,0.9981886671133625,0.5267119193377892
anxious,secure,symmetric_gaussian,symmetric_gaussian,ucb,10,200,0.9999940391390132,0.0,0.0,0.0,1.0,1.0,4133.305515982063,0.0,0.99113309301765,0.9970297619887226,0.9999999999999998
anxious,anxious,gaussian_matching,gaussian_matching,thompson,10,200,0.6007440955849435,0.00047966757068279575,0.044450358685427974,0.006291269523860502,1.0,0.36,4681.543285053684,0.0,0.997040427172203,0.9970262498055819,0.3203470424037359
anxious,anxious,gaussian_matching,gaussian_matching,ucb,10,200,0.9999948699692085,0.0,0.0,0.0,1.0,1.0,5199.99384396305,0.0,0.9911330807393712,0.9911330807393712,0.9999999999999998
anxious,anxious,gaussian_matching,symmetric_gaussian,thompson,10,200,0.7610101726405134,0.01844216833796075,0.064741665878315,0.003687101331542913,1.0,1.0,3893.7070473961157,960.2221616579902,0.9943923299362787,0.9949374186556272,0.4771431610822427
anxious,anxious,gaussian_matching,symmetric_gaussian,ucb,10,200,0.9999944545541108,4.154150976543036e-07,8.308301953086072e-07,0.0,1.0,1.0,4666.65040001711,533.3429454423026,0.99113309301765,0.9911330807393712,0.9999999999999998
anxious,anxious,symmetric_gaussian,gaussian_matching,thompson,10,200,0.7611200504660272,0.017987589015748373,0.06308878365083051,0.0024914386203706597,1.0,1.0,3897.912634213137,959.4835266782497,0.99492907692438,0.9943974240470673,0.516118332054282
anxious,anxious,symmetric_gaussian,gaussian_matching,ucb,10,200,0.9999944545541108,4.154150976543036e-07,8.308301953086072e-07,0.0,1.0,1.0,4666.65040001711,533.3429454423026,0.9911330807393712,0.99113309301765,0.9999999999999998
anxious,anxious,symmetric_gaussian,symmetric_gaussian,thompson,10,200,0.8539857728079059,0.00029046317532815946,0.0539696400418232,0.0022430178186103396,1.0,1.0,3386.0093338999695,0.0,0.9932951432074003,0.9932865580889176,0.5167732900749719
anxious,anxious,symmetric_gaussian,symmetric_gaussian,ucb,10,200,0.9999940391390132,0.0,0.0,0.0,1.0,1.0,4133.305515982063,0.0,0.99113309301765,0.99113309301765,0.9999999999999998
